,Office,Suboffice,Program,Value_FY2024,Value_FY2025,Value_FY2026,PercChange_25to26
42,National Nuclear Security Administration (NNSA),Weapons Activities,Enterprise Pit Production Support,87779,121964,145094,0.18964612508609097
43,National Nuclear Security Administration (NNSA),Weapons Activities,High Explosives & Energetics,93558,131675,196023,0.48868805771786594
44,National Nuclear Security Administration (NNSA),Weapons Activities,Inertial Confinement Fusion,690000,699830,738206,0.054836174499521315
45,National Nuclear Security Administration (NNSA),Weapons Activities,Information Technology and Cybersecurity,578379,598379,811208,0.35567591777117846
46,National Nuclear Security Administration (NNSA),Weapons Activities,Legacy Contractor Pensions and Settlement Payments (WA),65452,12500,64206,4.13648
48,National Nuclear Security Administration (NNSA),Weapons Activities,Maintenance and Repair of Facilities,708000,919600,1391000,0.512614180078295
49,National Nuclear Security Administration (NNSA),Weapons Activities,Non-Nuclear Capability Modernization,166990,141300,221588,0.568209483368719
50,National Nuclear Security Administration (NNSA),Weapons Activities,Nuclear Enterprise Assurance,66614,75002,117193,0.5625316658222448
51,National Nuclear Security Administration (NNSA),Weapons Activities,Operations and Equipment - STA,239008,236160,299541,0.2683816056910569
52,National Nuclear Security Administration (NNSA),Weapons Activities,Operations and Maintenance - DNS,988385,1030085,1245418,0.20904391385176951
53,National Nuclear Security Administration (NNSA),Weapons Activities,Operations of Facilities,1053000,1378725,1722000,0.24898003590273624
54,National Nuclear Security Administration (NNSA),Weapons Activities,Production Operations,710822,816567,1020243,0.24942962426843113
55,National Nuclear Security Administration (NNSA),Weapons Activities,Program Direction - STA,118056,118056,149244,0.2641797113234397
56,National Nuclear Security Administration (NNSA),Weapons Activities,Recapitalization,609665,741671,1284179,0.7314671869332898
57,National Nuclear Security Administration (NNSA),Weapons Activities,Safety and Environmental Operations,139114,154970,194360,0.2541782280441376
58,National Nuclear Security Administration (NNSA),Weapons Activities,Savannah River Pit Production,62764,75332,207486,1.7542876865077257
59,National Nuclear Security Administration (NNSA),Weapons Activities,Secondary Capability Modernization,666914,770353,1107186,0.4372450032647371
60,National Nuclear Security Administration (NNSA),Weapons Activities,SLCM-N Warhead,70000,100000,272316,1.72316
61,National Nuclear Security Administration (NNSA),Weapons Activities,Stockpile Sustainment (SS),1276578,1376260,1720200,0.24990917413860753
62,National Nuclear Security Administration (NNSA),Weapons Activities,Tritium and Defense Fuels Program,592992,581738,688384,0.1833230767115093
64,National Nuclear Security Administration (NNSA),Weapons Activities,W80-4 LEP,1009929,1194750,1259048,0.05381711655157983
67,National Nuclear Security Administration (NNSA),Weapons Activities,W93 Program,389656,455776,806797,0.7701612195464439
68,National Nuclear Security Administration (NNSA),Weapons Activities,Warhead Assembly Modernization,0,34000,59336,0.7451764705882353
